,# AUTORIZACION,FECHA PROGRAMACIÓN DE SERVICIO,HORA PROGRAMACIÓN SERVICIO,DEPARTAMENTO
1,6239030,2026-01-01,19:30:00,ANTIOQUIA
5,6239041,2026-01-01,20:05:00,ANTIOQUIA
6,6239038,2026-01-01,5:00:00,ANTIOQUIA
7,6239042,2026-01-01,22:30:00,ANTIOQUIA
12,6239052,2026-01-01,12:00:00,ANTIOQUIA
13,6239055,2026-01-01,7:00:00,ANTIOQUIA
17,6239059,2026-01-01,8:30:00,ANTIOQUIA
18,6239060,2026-01-01,9:15:00,ANTIOQUIA
19,6239061,2026-01-01,9:30:00,CUNDINAMARCA
27,6239077,2026-01-01,22:40:00,ANTIOQUIA
32,6239085,2026-01-01,11:25:00,ANTIOQUIA
34,6239091,2026-01-01,15:30:00,ANTIOQUIA
43,6239109,2026-01-01,13:15:00,ANTIOQUIA
44,6239104,2026-01-01,18:00:00,CUNDINAMARCA
47,6239115,2026-01-02,4:00:00,ANTIOQUIA
49,6239117,2026-01-01,18:30:00,ANTIOQUIA
50,6239118,2026-01-01,19:00:00,ANTIOQUIA
51,6239120,2026-01-01,18:30:00,ANTIOQUIA
52,6239122,2026-01-01,16:00:00,CUNDINAMARCA
53,6239119,2026-01-01,19:00:00,CUNDINAMARCA
60,6239135,2026-01-01,16:00:00,ANTIOQUIA
63,6239141,2026-01-01,17:00:00,ANTIOQUIA
66,6239146,2026-01-01,20:00:00,CUNDINAMARCA
69,6239149,2026-01-01,18:00:00,CUNDINAMARCA
72,6239151,2026-01-02,0:00:00,ANTIOQUIA
74,6239154,2026-01-01,17:00:00,CUNDINAMARCA
78,6239157,2026-01-01,22:15:00,CUNDINAMARCA
86,6239166,2026-01-01,18:00:00,VALLE DEL CAUCA
92,6239176,2026-01-01,22:00:00,CUNDINAMARCA
93,6239183,2026-01-01,22:30:00,CUNDINAMARCA
100,6239201,2026-01-01,18:30:00,VALLE DEL CAUCA
109,6239220,2026-01-01,18:00:00,CUNDINAMARCA
112,6239223,2026-01-01,20:00:00,ANTIOQUIA
114,6239227,2026-01-01,18:40:00,VALLE DEL CAUCA
115,6239228,2026-01-01,22:00:00,ANTIOQUIA
118,6239236,2026-01-01,21:00:00,ANTIOQUIA
119,6239237,2026-01-01,19:00:00,VALLE DEL CAUCA
121,6239239,2026-01-01,22:00:00,CUNDINAMARCA
123,6239244,2026-01-01,19:30:00,CUNDINAMARCA
124,6239243,2026-01-01,19:00:00,ANTIOQUIA
132,6239250,2026-01-10,19:00:00,CUNDINAMARCA
136,6239262,2026-01-01,20:30:00,CUNDINAMARCA
138,6239264,2026-01-01,22:00:00,CUNDINAMARCA
140,6239265,2026-01-01,22:00:00,ANTIOQUIA
141,6239267,2026-01-01,23:10:00,CUNDINAMARCA
142,6239271,2026-01-01,21:00:00,ANTIOQUIA
144,6239270,2026-01-01,20:00:00,CUNDINAMARCA
147,6239268,2026-01-01,19:40:00,ANTIOQUIA
151,6239279,2026-01-01,19:45:00,ANTIOQUIA
156,6239287,2026-01-01,20:30:00,CUNDINAMARCA
157,6239293,2026-01-01,21:00:00,CUNDINAMARCA
158,6239294,2026-01-01,20:30:00,VALLE DEL CAUCA
161,6239296,2026-01-01,22:00:00,ANTIOQUIA
162,6239299,2026-01-01,20:15:00,ANTIOQUIA
166,6239309,2026-01-01,21:30:00,VALLE DEL CAUCA
171,6239320,2026-01-01,21:00:00,CUNDINAMARCA
180,6239332,2026-01-01,21:20:00,ANTIOQUIA
182,6239331,2026-01-01,21:30:00,CUNDINAMARCA
183,6239336,2026-01-01,23:00:00,VALLE DEL CAUCA
185,6239337,2026-01-01,21:45:00,VALLE DEL CAUCA
195,6239553,2026-01-01,23:55:00,ANTIOQUIA
196,6239356,2026-01-01,22:00:00,ANTIOQUIA
197,6239357,2026-01-01,22:00:00,VALLE DEL CAUCA
204,6239365,2026-01-01,22:00:00,ANTIOQUIA
206,6239373,2026-01-02,0:00:00,ANTIOQUIA
207,6239375,2026-01-01,23:30:00,ANTIOQUIA
209,6239382,2026-01-01,22:30:00,ANTIOQUIA
210,6239383,2026-01-01,23:00:00,CUNDINAMARCA
219,6239403,2026-01-01,22:50:00,VALLE DEL CAUCA
233,6239421,2026-01-01,23:30:00,ANTIOQUIA
236,6239428,2026-01-01,23:30:00,CUNDINAMARCA
237,6239431,2026-01-01,23:45:00,CUNDINAMARCA
261,6239466,2026-01-02,2:00:00,ANTIOQUIA
263,6239473,2026-01-02,1:05:00,CUNDINAMARCA
269,6239477,2026-01-02,2:00:00,ANTIOQUIA
270,6239487,2026-01-02,13:00:00,ANTIOQUIA
277,6239497,2026-01-02,3:00:00,ANTIOQUIA
279,6239503,2026-01-02,8:30:00,CUNDINAMARCA
283,6239518,2026-01-02,7:00:00,ANTIOQUIA
327,6239634,2026-01-02,15:30:00,CUNDINAMARCA
356,6239700,2026-01-02,18:00:00,CUNDINAMARCA
424,6239898,2026-01-03,1:00:00,ANTIOQUIA
441,6239966,2026-01-02,22:00:00,CUNDINAMARCA
443,6239970,2026-01-03,1:00:00,ANTIOQUIA
474,6240064,2026-01-03,2:30:00,CUNDINAMARCA
476,6240074,2026-01-02,20:00:00,ANTIOQUIA
477,6240075,2026-01-02,23:30:00,CUNDINAMARCA
478,6240071,2026-01-02,18:10:00,ANTIOQUIA
481,6240063,2026-01-03,18:30:00,VALLE DEL CAUCA
488,6240103,2026-01-02,19:15:00,VALLE DEL CAUCA
509,6240179,2026-01-03,0:00:00,ANTIOQUIA
521,6240188,2026-01-04,1:00:00,ANTIOQUIA
528,6240218,2026-01-02,23:55:00,ANTIOQUIA
542,6240256,2026-01-03,2:30:00,CUNDINAMARCA
547,6240261,2026-01-02,22:30:00,CUNDINAMARCA
568,6250307,2026-01-02,23:00:00,ANTIOQUIA
571,6240306,2026-01-02,22:45:00,CUNDINAMARCA
574,6240311,2026-01-03,0:00:00,CUNDINAMARCA
584,6240335,2026-01-03,1:30:00,VALLE DEL CAUCA
585,6240338,2026-01-02,23:55:00,CUNDINAMARCA
592,6240351,2026-01-04,1:00:00,CUNDINAMARCA
595,6240354,2026-01-03,0:40:00,ANTIOQUIA
597,6240360,2026-01-03,2:30:00,CUNDINAMARCA
599,6240359,2026-01-03,2:00:00,ANTIOQUIA
600,6240363,2026-01-03,0:15:00,CUNDINAMARCA
601,6240365,2026-01-03,0:20:00,VALLE DEL CAUCA
604,6240370,2026-01-03,1:00:00,ANTIOQUIA
610,6240383,2026-01-03,2:00:00,ANTIOQUIA
613,6240388,2026-01-03,1:15:00,CUNDINAMARCA
615,6240393,2026-01-04,0:00:00,CUNDINAMARCA
626,6240424,2026-01-03,3:00:00,CUNDINAMARCA
627,6240427,2026-01-03,4:00:00,ANTIOQUIA
633,6240435,2026-01-03,4:00:00,ANTIOQUIA
643,6240452,2026-01-03,4:30:00,ANTIOQUIA
647,6240458,2026-01-03,4:30:00,VALLE DEL CAUCA
649,6240462,2026-01-03,5:40:00,ANTIOQUIA
681,6240532,2026-01-03,13:30:00,VALLE DEL CAUCA
726,6240695,2026-01-03,20:00:00,CUNDINAMARCA
730,6240709,2026-01-05,14:00:00,CUNDINAMARCA
743,6240743,2026-01-03,21:00:00,VALLE DEL CAUCA
746,6240751,2026-01-03,16:30:00,VALLE DEL CAUCA
747,6240747,2026-01-04,2:00:00,ANTIOQUIA
750,6240763,2026-01-03,21:00:00,VALLE DEL CAUCA
768,6240799,2026-01-04,0:35:00,CUNDINAMARCA
780,6240833,2026-01-03,17:30:00,CUNDINAMARCA
782,6240848,2026-01-04,1:00:00,VALLE DEL CAUCA
797,6240883,2026-01-03,22:00:00,VALLE DEL CAUCA
819,6240925,2026-01-03,22:00:00,ANTIOQUIA
823,6240940,2026-01-03,20:00:00,CUNDINAMARCA
829,6240951,2026-01-04,0:30:00,VALLE DEL CAUCA
833,6240963,2026-01-03,20:00:00,ANTIOQUIA
837,6240970,2026-01-03,19:00:00,CUNDINAMARCA
841,6240975,2026-01-03,20:00:00,CUNDINAMARCA
843,6240978,2026-01-03,21:00:00,CUNDINAMARCA
846,6240979,2026-01-03,22:00:00,ANTIOQUIA
858,6241000,2026-01-04,2:00:00,VALLE DEL CAUCA
870,6241045,2026-01-03,22:00:00,CUNDINAMARCA
876,6241053,2026-01-03,21:15:00,VALLE DEL CAUCA
877,6241057,2026-01-03,21:15:00,VALLE DEL CAUCA
878,6241060,2026-01-04,0:30:00,ANTIOQUIA
880,6241066,2026-01-03,22:00:00,ANTIOQUIA
882,6241059,2026-01-04,1:00:00,CUNDINAMARCA
890,6241083,2026-01-03,22:00:00,ANTIOQUIA
893,6241091,2026-01-03,22:00:00,CUNDINAMARCA
901,6241104,2026-01-04,1:00:00,VALLE DEL CAUCA
903,6241109,2026-01-03,22:30:00,CUNDINAMARCA
906,6241112,2026-01-03,23:15:00,CUNDINAMARCA
910,6241123,2026-01-03,22:30:00,ANTIOQUIA
911,6241122,2026-01-04,3:00:00,CUNDINAMARCA
913,6241120,2026-01-03,22:30:00,ANTIOQUIA
915,6241134,2026-01-04,3:00:00,ANTIOQUIA
918,6241136,2026-01-04,1:00:00,CUNDINAMARCA
921,6231142,2026-01-03,22:30:00,ANTIOQUIA
923,6241145,2026-01-03,23:00:00,CUNDINAMARCA
927,6241153,2026-01-04,0:30:00,ANTIOQUIA
932,6241162,2026-01-04,0:00:00,ANTIOQUIA
933,6241159,2026-01-04,3:00:00,ANTIOQUIA
934,6241158,2026-01-03,23:10:00,CUNDINAMARCA
936,6241165,2026-01-04,0:00:00,ANTIOQUIA
937,6241166,2026-01-03,23:40:00,ANTIOQUIA
943,6241179,2026-01-04,1:00:00,VALLE DEL CAUCA
944,6241178,2026-01-04,0:15:00,VALLE DEL CAUCA
947,6241184,2026-01-04,1:00:00,ANTIOQUIA
949,6241188,2026-01-04,0:00:00,CUNDINAMARCA
951,6241190,2026-01-04,3:30:00,VALLE DEL CAUCA
952,6241187,2026-01-04,2:30:00,VALLE DEL CAUCA
956,6241197,2026-01-04,1:00:00,ANTIOQUIA
959,6241203,2026-01-04,0:00:00,ANTIOQUIA
961,6241204,2026-01-03,23:50:00,ANTIOQUIA
963,6241206,2026-01-04,0:20:00,CUNDINAMARCA
965,6241208,2026-01-04,2:00:00,CUNDINAMARCA
966,6241211,2026-01-04,1:45:00,ANTIOQUIA
967,6241212,2026-01-04,0:00:00,ANTIOQUIA
969,6241219,2026-01-04,1:45:00,ANTIOQUIA
973,6241224,2026-01-04,1:00:00,CUNDINAMARCA
974,6241226,2026-01-04,2:00:00,VALLE DEL CAUCA
975,6241227,2026-01-04,1:30:00,CUNDINAMARCA
976,6241228,2026-01-04,1:30:00,CUNDINAMARCA
980,6241233,2026-01-04,1:30:00,CUNDINAMARCA
981,6241236,2026-01-04,3:45:00,ANTIOQUIA
983,6241239,2026-01-04,1:15:00,ANTIOQUIA
984,6241237,2026-01-04,2:00:00,VALLE DEL CAUCA
989,6241243,2026-01-04,2:00:00,CUNDINAMARCA
996,6241257,2026-01-04,3:00:00,VALLE DEL CAUCA
997,6241258,2026-01-04,2:30:00,ANTIOQUIA
1004,6241256,2026-01-04,1:45:00,ANTIOQUIA
1008,6241274,2026-01-04,4:00:00,VALLE DEL CAUCA
1009,6241280,2026-01-04,3:15:00,CUNDINAMARCA
1015,6241295,2026-01-04,3:00:00,ANTIOQUIA
1022,6241309,2026-01-04,3:00:00,ANTIOQUIA
1023,6241314,2026-01-04,2:40:00,CUNDINAMARCA
1031,6241322,2026-01-04,3:00:00,CUNDINAMARCA
1034,6241330,2026-01-04,4:15:00,CUNDINAMARCA
1035,6241332,2026-01-04,3:15:00,CUNDINAMARCA
1044,6241354,2026-01-04,5:00:00,CUNDINAMARCA
1046,6241356,2026-01-04,5:00:00,VALLE DEL CAUCA
1050,6241364,2026-01-04,6:00:00,VALLE DEL CAUCA
1052,6241305,2026-01-04,5:00:00,CUNDINAMARCA
1056,6241374,2026-01-04,9:15:00,CUNDINAMARCA
1105,6241489,2026-01-04,21:00:00,CUNDINAMARCA
1115,6241528,2026-01-04,17:30:00,ANTIOQUIA
1117,6241523,2026-01-04,17:00:00,CUNDINAMARCA
1129,6241562,2026-01-04,18:00:00,CUNDINAMARCA
1155,6241608,2026-01-05,11:00:00,CUNDINAMARCA
1171,6241632,2026-01-04,19:30:00,CUNDINAMARCA
1173,6241630,2026-01-04,20:30:00,CUNDINAMARCA
1176,6241639,2026-01-04,22:00:00,ANTIOQUIA
1177,6241641,2026-01-04,23:00:00,ANTIOQUIA
1192,6241671,2026-01-04,20:00:00,CUNDINAMARCA
1199,6241683,2026-01-04,20:10:00,ANTIOQUIA
1217,6241724,2026-01-04,21:05:00,CUNDINAMARCA
1248,6241779,2026-01-04,22:05:00,CUNDINAMARCA
1257,6241799,2026-01-05,5:00:00,CUNDINAMARCA
1259,6241803,2026-01-04,23:15:00,ANTIOQUIA
1260,6241804,2026-01-04,23:55:00,ANTIOQUIA
1295,6241877,2026-01-05,9:45:00,ANTIOQUIA
1363,6242019,2026-01-05,9:00:00,VALLE DEL CAUCA
1415,6242149,2026-01-05,16:30:00,CUNDINAMARCA
1468,6242310,2026-01-05,14:30:00,CUNDINAMARCA
1476,6242349,2026-01-06,12:30:00,CUNDINAMARCA
1544,6242599,2026-01-05,16:30:00,CUNDINAMARCA
1549,6242613,2026-01-05,18:30:00,CUNDINAMARCA
1575,6242708,2026-01-05,22:00:00,VALLE DEL CAUCA
1636,6242834,2026-01-06,11:00:00,ANTIOQUIA
1652,6242983,2026-01-05,22:00:00,CUNDINAMARCA
1656,6243000,2026-01-05,21:00:00,VALLE DEL CAUCA
1738,6243193,2026-01-07,0:00:00,VALLE DEL CAUCA
1780,6243286,2026-01-06,12:30:00,ANTIOQUIA
1878,6243618,2026-01-11,2:00:00,CUNDINAMARCA
1890,6243657,2026-01-06,16:00:00,ANTIOQUIA
1972,6243914,2026-01-06,20:30:00,CUNDINAMARCA
2005,6244072,2026-01-06,21:30:00,CUNDINAMARCA
2078,6244294,2026-01-06,21:00:00,CUNDINAMARCA
2089,6244359,2026-01-07,6:45:00,CUNDINAMARCA
2096,6244359,2026-01-07,6:45:00,CUNDINAMARCA
2108,6244407,2026-01-06,22:00:00,CUNDINAMARCA
2109,6244406,2026-01-07,6:45:00,CUNDINAMARCA
2121,6244431,2026-01-07,12:45:00,CUNDINAMARCA
2135,6244425,2026-01-07,7:30:00,CUNDINAMARCA
2143,6244469,2026-01-07,11:30:00,CUNDINAMARCA
2155,6244489,2026-01-07,0:00:00,CUNDINAMARCA
2166,6244517,2026-01-07,0:40:00,CUNDINAMARCA
2174,6244543,2026-01-07,3:00:00,CUNDINAMARCA
2197,6244606,2026-01-07,10:30:00,CUNDINAMARCA
2317,6245014,2026-01-07,16:00:00,CUNDINAMARCA
2323,6244992,2026-01-07,18:30:00,CUNDINAMARCA
2327,6245024,2026-01-10,0:00:00,CUNDINAMARCA
2340,6245072,2026-01-07,18:45:00,ANTIOQUIA
2341,6245077,2026-01-07,16:05:00,CUNDINAMARCA
2345,6245088,2026-01-08,9:00:00,CUNDINAMARCA
2364,6245152,2026-01-07,20:40:00,CUNDINAMARCA
2396,6245265,2026-01-07,18:30:00,ANTIOQUIA
2405,6245281,2026-01-08,8:30:00,VALLE DEL CAUCA
2429,6245376,2026-01-15,21:00:00,CUNDINAMARCA
2461,6245501,2026-01-08,8:00:00,ANTIOQUIA
2469,6245533,2026-01-07,20:45:00,CUNDINAMARCA
2473,6245563,2026-01-07,21:30:00,CUNDINAMARCA
2483,6245581,2026-01-07,21:30:00,CUNDINAMARCA
2513,6245676,2026-01-07,23:00:00,CUNDINAMARCA
2517,6245680,2026-01-08,1:00:00,CUNDINAMARCA
2526,6245693,2026-01-07,21:00:00,VALLE DEL CAUCA
2541,6245713,2026-01-08,7:15:00,ANTIOQUIA
2544,6245722,2026-01-07,23:45:00,ANTIOQUIA
2557,6245744,2026-01-08,0:20:00,VALLE DEL CAUCA
2563,6245722,2026-01-07,23:45:00,ANTIOQUIA
2571,6245769,2026-01-08,14:30:00,CUNDINAMARCA
2575,6245757,2026-01-08,2:30:00,VALLE DEL CAUCA
2586,6245794,2026-01-08,2:05:00,ANTIOQUIA
2616,6245857,2026-01-08,11:15:00,CUNDINAMARCA
2633,6245889,2026-01-11,0:30:00,ANTIOQUIA
2700,6246097,2026-01-08,22:00:00,VALLE DEL CAUCA
2761,6246361,2026-01-09,9:00:00,VALLE DEL CAUCA
2765,6246365,2026-01-08,17:00:00,CUNDINAMARCA
2783,6246424,2026-01-09,1:30:00,CUNDINAMARCA
2805,6246493,2026-01-08,21:00:00,ANTIOQUIA
2818,6245558,2026-01-28,19:00:00,VALLE DEL CAUCA
2847,6246633,2026-01-08,21:30:00,VALLE DEL CAUCA
2852,6246701,2026-01-08,21:00:00,ANTIOQUIA
2873,6246780,2026-01-08,21:00:00,VALLE DEL CAUCA
2876,6246783,2026-01-08,22:00:00,CUNDINAMARCA
2893,6246833,2026-01-08,23:40:00,ANTIOQUIA
2896,6246850,2026-01-08,22:30:00,CUNDINAMARCA
2905,6246875,2026-01-09,18:00:00,ANTIOQUIA
2934,6246946,2026-01-09,0:00:00,ANTIOQUIA
2939,6246970,2026-01-09,0:30:00,ANTIOQUIA
2943,6246924,2026-01-09,1:00:00,ANTIOQUIA
2948,6246996,2026-01-09,0:00:00,ANTIOQUIA
2972,6247046,2026-01-09,2:40:00,CUNDINAMARCA
2978,6247057,2026-01-09,15:00:00,ANTIOQUIA
2981,6247063,2026-01-09,4:15:00,ANTIOQUIA
2983,6247066,2026-01-09,4:25:00,CUNDINAMARCA
2984,6247067,2026-01-09,4:45:00,CUNDINAMARCA
3016,6247119,2026-01-10,8:30:00,CUNDINAMARCA
3074,6247281,2026-01-09,14:00:00,ANTIOQUIA
3107,6247399,2026-01-09,22:30:00,ANTIOQUIA
3114,6247431,2026-01-14,22:30:00,VALLE DEL CAUCA
3150,6247545,2026-01-09,16:30:00,CUNDINAMARCA
3193,6247694,2026-01-09,21:30:00,ANTIOQUIA
3207,6247791,2026-01-11,1:00:00,CUNDINAMARCA
3209,6247796,2026-01-09,23:00:00,ANTIOQUIA
3211,6247805,2026-01-09,22:00:00,ANTIOQUIA
3215,6247821,2026-01-11,9:30:00,ANTIOQUIA
3222,6247838,2026-01-10,13:30:00,CUNDINAMARCA
3224,6247850,2026-01-10,2:00:00,ANTIOQUIA
3227,6247848,2026-01-09,21:00:00,ANTIOQUIA
3228,6247888,2026-01-10,1:00:00,CUNDINAMARCA
3232,6247876,2026-01-09,17:00:00,CUNDINAMARCA
3236,6247905,2026-01-09,21:00:00,CUNDINAMARCA
3252,6247992,2026-01-10,0:00:00,ANTIOQUIA
3256,62479852,2026-01-09,23:00:00,CUNDINAMARCA
3260,6247970,2026-01-10,0:00:00,CUNDINAMARCA
3267,6247999,2026-01-10,1:30:00,CUNDINAMARCA
3269,6248039,2026-01-09,22:00:00,CUNDINAMARCA
3270,6248011,2026-01-12,1:00:00,ANTIOQUIA
3272,6248032,2026-01-13,8:30:00,CUNDINAMARCA
3278,6248059,2026-01-11,1:30:00,CUNDINAMARCA
3282,6248055,2026-01-09,22:00:00,CUNDINAMARCA
3283,6248070,2026-01-09,21:00:00,CUNDINAMARCA
3286,6248044,2026-01-10,3:00:00,VALLE DEL CAUCA
3289,6248064,2026-01-10,1:30:00,ANTIOQUIA
3294,6248089,2026-01-01,21:15:00,ANTIOQUIA
3297,6248090,2026-01-09,23:00:00,ANTIOQUIA
3300,6248105,2026-01-09,22:00:00,CUNDINAMARCA
3301,6248102,2026-01-09,23:55:00,CUNDINAMARCA
3308,6247119,2026-01-09,22:00:00,CUNDINAMARCA
3318,6248149,2026-01-09,22:30:00,CUNDINAMARCA
3321,6248152,2026-01-10,1:00:00,CUNDINAMARCA
3322,6248155,2026-01-09,23:30:00,CUNDINAMARCA
3323,6248154,2026-01-10,0:00:00,ANTIOQUIA
3329,6248165,2026-01-10,1:00:00,CUNDINAMARCA
3330,6248157,2026-01-10,20:00:00,CUNDINAMARCA
3332,6248163,2026-01-10,23:55:00,VALLE DEL CAUCA
3335,6248167,2026-01-09,23:55:00,CUNDINAMARCA
3337,6248171,2026-01-10,1:00:00,CUNDINAMARCA
3339,6248176,2026-01-09,23:30:00,CUNDINAMARCA
3340,6248177,2026-01-09,23:15:00,CUNDINAMARCA
3342,6248182,2026-01-11,1:30:00,CUNDINAMARCA
3346,6248188,2026-01-10,0:30:00,ANTIOQUIA
3347,6248187,2026-01-09,23:35:00,ANTIOQUIA
3348,6248191,2026-01-10,0:00:00,ANTIOQUIA
3350,6248190,2026-01-10,0:30:00,CUNDINAMARCA
3351,6248193,2026-01-10,0:30:00,ANTIOQUIA
3352,6248194,2026-01-10,0:30:00,CUNDINAMARCA
3354,6248200,2026-01-10,2:00:00,CUNDINAMARCA
3355,6248198,2026-01-10,1:10:00,CUNDINAMARCA
3357,6248204,2026-01-10,0:10:00,ANTIOQUIA
3360,6248205,2026-01-10,0:10:00,CUNDINAMARCA
3374,6248228,2026-01-10,2:00:00,CUNDINAMARCA
3377,6248237,2026-01-10,13:30:00,CUNDINAMARCA
3378,6248240,2026-01-10,4:20:00,CUNDINAMARCA
3379,6248241,2026-01-10,1:15:00,ANTIOQUIA
3380,6248242,2026-01-10,2:45:00,CUNDINAMARCA
3382,6248247,2026-01-10,3:00:00,ANTIOQUIA
3386,6248251,2026-01-10,1:30:00,VALLE DEL CAUCA
3389,6248252,2026-01-10,3:05:00,ANTIOQUIA
3390,6248254,2026-01-10,1:20:00,CUNDINAMARCA
3395,6248265,2026-01-10,2:00:00,CUNDINAMARCA
3396,6248263,2026-01-10,1:35:00,CUNDINAMARCA
3406,6248288,2026-01-10,2:00:00,CUNDINAMARCA
3407,6248292,2026-01-10,2:30:00,CUNDINAMARCA
3409,6248294,2026-01-11,7:00:00,CUNDINAMARCA
3410,6248295,2026-01-10,3:00:00,CUNDINAMARCA
3413,6248298,2026-01-10,3:00:00,ANTIOQUIA
3418,6248303,2026-01-10,3:05:00,CUNDINAMARCA
3420,6248308,2026-01-11,0:00:00,CUNDINAMARCA
3421,6248307,2026-01-10,3:15:00,ANTIOQUIA
3426,6248312,2026-01-10,3:30:00,ANTIOQUIA
3428,6248315,2026-01-10,4:10:00,ANTIOQUIA
3432,6248320,2026-01-10,4:00:00,ANTIOQUIA
3434,6248324,2026-01-11,0:30:00,CUNDINAMARCA
3439,6247888,2026-01-10,5:30:00,CUNDINAMARCA
3441,6248340,2026-01-10,7:20:00,CUNDINAMARCA
3452,6248364,2026-01-10,11:00:00,ANTIOQUIA
3459,6248372,2026-01-10,12:05:00,CUNDINAMARCA
3469,6248387,2026-01-10,13:30:00,CUNDINAMARCA
3494,6248465,2026-01-11,2:00:00,ANTIOQUIA
3503,6248486,2026-01-11,2:30:00,ANTIOQUIA
3505,6248490,2026-01-11,2:30:00,CUNDINAMARCA
3523,6248543,2026-01-11,1:00:00,CUNDINAMARCA
3524,6248548,2026-01-12,1:00:00,CUNDINAMARCA
3528,6248553,2026-01-10,21:00:00,CUNDINAMARCA
3532,6248560,2026-01-10,16:30:00,CUNDINAMARCA
3542,6248594,2026-01-11,1:45:00,CUNDINAMARCA
3559,6248641,2026-01-11,1:00:00,CUNDINAMARCA
3578,6248693,2026-01-10,21:05:00,CUNDINAMARCA
3581,6248698,2026-01-10,17:30:00,CUNDINAMARCA
3589,6248717,2026-01-10,23:00:00,CUNDINAMARCA
3608,6248760,2026-01-10,21:00:00,ANTIOQUIA
3610,6248764,2026-01-11,0:20:00,CUNDINAMARCA
3615,6248770,2026-01-11,1:05:00,ANTIOQUIA
3619,6248783,2026-01-11,0:00:00,ANTIOQUIA
3620,6248779,2026-01-11,1:30:00,VALLE DEL CAUCA
3622,6248786,2026-01-11,23:00:00,VALLE DEL CAUCA
3626,6248795,2026-01-11,2:30:00,CUNDINAMARCA
3629,6248801,2026-01-10,20:00:00,ANTIOQUIA
3635,6248819,2026-01-11,2:45:00,CUNDINAMARCA
3638,6248809,2026-01-10,23:30:00,CUNDINAMARCA
3640,6248814,2026-01-11,1:00:00,ANTIOQUIA
3641,6248828,2026-01-10,23:00:00,CUNDINAMARCA
3644,6248826,2026-01-10,21:00:00,CUNDINAMARCA
3647,6248846,2026-01-10,22:00:00,CUNDINAMARCA
3649,6248830,2026-01-11,1:00:00,CUNDINAMARCA
3650,6248858,2026-01-10,22:00:00,CUNDINAMARCA
3654,6248848,2026-01-11,2:00:00,CUNDINAMARCA
3656,6248836,2026-01-11,8:45:00,CUNDINAMARCA
3657,6248861,2026-01-11,12:45:00,ANTIOQUIA
3658,6248864,2026-01-10,21:30:00,ANTIOQUIA
3659,6248863,2026-01-11,2:00:00,CUNDINAMARCA
3660,6248859,2026-01-10,20:00:00,CUNDINAMARCA
3663,6248870,2026-01-10,22:00:00,ANTIOQUIA
3675,6248878,2026-01-10,22:00:00,ANTIOQUIA
3677,6248885,2026-01-10,22:00:00,CUNDINAMARCA
3682,6248905,2026-01-11,2:45:00,ANTIOQUIA
3690,6248916,2026-01-10,22:10:00,ANTIOQUIA
3691,6248930,2026-01-10,23:45:00,VALLE DEL CAUCA
3692,6248918,2026-01-10,22:00:00,CUNDINAMARCA
3693,6248931,2026-01-10,22:30:00,ANTIOQUIA
3694,6248932,2026-01-11,0:00:00,ANTIOQUIA
3695,6248935,2026-01-10,21:30:00,CUNDINAMARCA
3696,6248937,2026-01-10,21:30:00,CUNDINAMARCA
3702,6248933,2026-01-10,21:45:00,CUNDINAMARCA
3704,6248934,2026-01-12,3:00:00,VALLE DEL CAUCA
3711,6248949,2026-01-11,2:00:00,CUNDINAMARCA
3713,6248954,2026-01-11,3:30:00,VALLE DEL CAUCA
3717,6248958,2026-01-11,2:00:00,CUNDINAMARCA
3719,6248962,2026-01-10,0:00:00,CUNDINAMARCA
3720,6248964,2026-01-10,23:30:00,ANTIOQUIA
3722,6248963,2026-01-10,23:00:00,ANTIOQUIA
3726,6248973,2026-01-10,22:30:00,ANTIOQUIA
3727,6248970,2026-01-11,2:00:00,CUNDINAMARCA
3729,6248972,2026-01-10,22:30:00,CUNDINAMARCA
3737,6248993,2026-01-10,22:30:00,ANTIOQUIA
3738,6248987,2026-01-11,1:30:00,ANTIOQUIA
3740,6248998,2026-01-11,1:00:00,ANTIOQUIA
3744,6248996,2026-01-11,2:00:00,CUNDINAMARCA
3747,6249003,2026-01-11,1:00:00,CUNDINAMARCA
3748,6248981,2026-01-10,23:00:00,ANTIOQUIA
3749,6249004,2026-01-11,1:00:00,ANTIOQUIA
3750,6248984,2026-01-11,2:00:00,ANTIOQUIA
3751,6249008,2026-01-11,1:00:00,CUNDINAMARCA
3752,6249007,2026-01-11,1:00:00,ANTIOQUIA
3753,6249005,2026-01-11,10:00:00,CUNDINAMARCA
3756,6249010,2026-01-11,5:00:00,ANTIOQUIA
3757,6249012,2026-01-10,23:00:00,VALLE DEL CAUCA
3759,6249018,2026-01-11,17:00:00,CUNDINAMARCA
3760,6249019,2026-01-10,23:00:00,CUNDINAMARCA
3761,6249015,2026-01-11,1:00:00,CUNDINAMARCA
3763,6249017,2026-01-10,23:00:00,ANTIOQUIA
3764,6249022,2026-01-10,23:05:00,CUNDINAMARCA
3768,6249034,2026-01-10,23:00:00,ANTIOQUIA
3770,6249037,2026-01-10,23:00:00,CUNDINAMARCA
3776,6249040,2026-01-10,23:15:00,CUNDINAMARCA
3777,6249042,2026-01-10,23:20:00,ANTIOQUIA
3782,6240949,2026-01-10,23:55:00,ANTIOQUIA
3784,6249043,2026-01-11,1:00:00,CUNDINAMARCA
3785,6249057,2026-01-11,1:00:00,CUNDINAMARCA
3788,6249059,2026-01-11,1:05:00,VALLE DEL CAUCA
